FitchEntityID;OPERATING_ROAA;TOTAL_EQUITY_TOTAL_ASSETS;LA_to_TA;NET_LOANS_TOTAL_ASSETS
1003683;0.29;4.6;12.415911020668249;62.82
1003698;0.24;5.45;12.913174214808029;51.47
1011645;0.66;7.26;3.966442534327816;61.27
1004627;0.25;4.59;3.818102382491697;66.68
1004628;0.25;4.79;11.487902045634726;61.18
1004595;0.16;5.42;8.142842215893301;70.4
1004594;0.1;4.16;11.087134713068084;65.89
111941;0.28;6.6;6.81217705968708;65.17
111942;0.43;8.57;11.48860133560852;56.58
1005419;0.29;5.21;4.075198666593096;76.67
1005420;0.21;5.67;10.716205472054375;57.66
111938;0.34;5.06;14.398733227570776;63.14
1005517;0.33;4.18;13.078351239683247;65.54
1005519;0.36;5.86;18.092610840091762;53.73
1005570;0.29;4.26;4.737293189415847;56.91
111486;0.28;4.59;16.449157780446892;61.13
1005529;0.14;4.3;2.629354170022569;60.42
1005575;0.04;4.96;8.838152130756589;70.44
106801;0.15;6.21;7.522209447043844;53.18
1007879;0.26;5.19;9.363106625640961;53.32
1008543;0.28;6.08;6.869432466089444;68.22
1010054;0.24;4.13;7.678869101387114;74.88
1011636;0.44;6.73;10.34699369567527;61.18
1011601;0.2;3.67;5.318927231596106;72.09
1005629;0.3;5.98;11.377102685113421;56.69
1006110;0.41;8.93;12.991270343760187;59.15
111487;0.36;6.33;7.855576903375063;61.24
1006217;0.16;5.77;8.090279017773605;67.31
1006231;0.41;7.12;5.4326779532811145;73.01
1006262;0.16;5.13;3.253892444521289;73.31
1006379;0.39;6.17;4.904855250165674;71.09
1006435;0.23;4.36;10.936276892065768;68.77
1006460;0.22;4.85;8.457626047090699;60.09
1421711;0.25;8.1;8.156998506606943;86.46
1006468;0.24;4.48;13.819690101486756;57.37
1006676;0.17;5.06;15.975143470557049;66.42
1007518;0.12;4.32;6.163271841228632;69.07
1007544;0.16;6.17;5.446234441209065;69.99
1007561;0.35;5.55;14.30082254645704;71.36
1007564;0.27;3.97;12.113720465970273;71.35
1007631;0.39;4.68;10.479163943743274;61.93
1007632;0.39;7.1;10.346784914852897;69.71
1007831;0.24;5.2;4.710303440241505;75.99
1007923;0.24;4.33;12.887445962015084;55.9
1008222;0.23;5.21;8.81938276701127;71.03
1008501;0.3;5.36;3.5933965835986155;68.66
1008521;0.24;5.92;7.216852716722083;53.84
1331228;1.04;11.49;15.983137941010344;11.03
1009563;0.26;4.79;36.21467419666042;10.36
1010044;0.18;5.54;6.021902790771489;69.22
1010118;0.32;6.54;10.93624158762928;51.71
1010422;0.24;4.46;8.77587655098063;59.07
1005774;0.25;4.43;12.13861542977881;68.36
1010513;0.34;6.79;8.574322683983077;62.33
1010515;0.32;4.6;7.20471209672445;55.13
1010542;0.23;4.85;8.340696407377237;63.33
1010523;0.16;5.14;13.686231745805696;67.44
1010551;0.35;5.02;11.211764843962827;57.26
1010554;0.44;6.65;5.641043506649463;72.18
111494;0.38;7.34;13.999811640647922;71.59
1010561;0.1;4.3;3.3875771881495496;63.28
1011315;0.3;5.59;5.501630887114958;68.28
1011319;0.25;4.23;12.093375342917714;77.97
1011326;0.16;4.19;7.471148691910402;73.11
1011535;0.37;5.75;16.45860441262725;65.69
1011549;0.12;3.26;19.28969337336797;53.56
1011550;0.24;4.48;4.973178297860676;61.1
1011576;0.39;5.44;7.700121759655697;62.06
1011627;0.5;5.42;18.299025494556936;65.59
1011594;0.14;3.8;11.495263205747499;65.92
1011633;0.18;4.98;6.440511553067674;73.43
1012854;0.22;5.92;6.226165745577938;64.33
1012855;0.41;6.92;15.733567288564787;61.97
1012850;0.32;6.61;13.835779648616759;46.58
1386032;0.24;5.48;23.221029400430087;52.71
1011572;0.2;4.96;25.07021741394787;67.74
1303872;0.41;5.86;6.818688092269931;69.54
1006278;0.22;4.45;3.7002540721198947;70.21
111490;0.36;5.62;31.936770678505543;32.67
111496;0.28;5.06;28.687947007156417;54.82
111772;0.42;5.63;27.663199710629243;43.66
106539;0.65;8.61;27.718194173694442;49.04
108566;0.49;4.79;31.34409971289603;49.19
108273;0.3;5.02;29.377572103684567;44.15
1003134;1.44;10.68;34.047927062157335;64.69
1023040;1.2;15.07;23.994075536904468;50.25
1055133;0.21;10.06;28.581986849482643;33.22
1001199;-0.02;3.68;9.625138023318923;85.09
107784;1.25;13.24;22.00996223110187;60.18
1413190;0.73;4.43;8.751552183548931;85.5
1011722;0.51;10.23;15.977096230168748;66.63
1258790;0.88;5.43;13.72964944006552;69.92
104050;0.6;6.57;18.228464438109356;69.61
100941;0.85;5.24;16.914209552437732;67.88
135894;0.84;6.04;16.92215699065014;67.84
111472;0.76;9.2;16.64176711758727;62.1
1436351;5.66;13.27;3.268950072195658;75.55
1092610;2.92;12.19;10.867410807425824;75.57
1025922;1.03;8.63;29.340299848296088;63.26
1475417;0.82;13.97;20.189202504745936;72.2
1473547;1.96;13.48;18.220271206930228;70.7
1240890;1.37;9.55;26.041262843349045;70.1
1169464;0.95;10.18;5.045596352301414;82.82
1299550;1.05;9.62;9.949813825482961;81.6
1004471;1.18;10.79;3.235913134987197;83.81
1046887;0.76;9.86;17.19738539230051;81.3
1069855;0.91;10.82;12.01463392736788;87.13
1170055;1.41;13.39;3.4231556378621937;84.5
1170061;1.07;11.8;3.509606239297015;80.97
1470067;1.18;9.2;4.818121398570159;74.81
1399970;2.03;14.05;0.22941378812906632;97.81
111680;0.6;7.36;12.632026564776528;85.23
1299551;0.66;8.73;2.23468582946288;91.54
1465041;4.11;15.08;10.774529593609435;80.24
1008989;0.18;8.5;1.7022759563574137;64.01
1008144;0.18;3.44;5.209328273052003;36.18
112852;0.92;9.03;4.9572296660264685;72.9
1007114;0.5;10.23;4.0965187127187805;69.26
1008367;0.15;10.52;2.694160859531074;75.6
1439541;0.48;8.81;1.1401029862902101;73.34
1432770;-0.98;16.38;1.3272226186784368;77.69
1462727;0.57;7.23;0.031007075008637155;94.91
111752;1.45;12.21;10.957118607533545;68.95
1008372;0.59;13.23;4.389622375680745;66.18
1000984;4.65;18.08;0.9123312045605262;78.72
1065696;0.79;11.85;3.167782552217268;78.55
