Date;Open;High;Low;Close;Adj Close;Volume
27/04/1993;3398.399902;3416.739990;3383.239990;3415.929932;3415.929932;297800
28/04/1993;3415.899902;3424.580078;3395.399902;3413.500000;3413.500000;390300
29/04/1993;3413.500000;3427.010010;3392.429932;3425.120117;3425.120117;274100
30/04/1993;3425.100098;3446.189941;3422.409912;3427.550049;3427.550049;232900
03/05/1993;3439.399902;3459.429932;3439.399902;3446.459961;3446.459961;221900
04/05/1993;3446.500000;3459.429932;3439.439941;3446.189941;3446.189941;227900
05/05/1993;3446.199951;3457.399902;3439.409912;3449.100098;3449.100098;256400
06/05/1993;3449.100098;3454.350098;3439.129883;3441.899902;3441.899902;244600
07/05/1993;3441.899902;3447.989990;3427.229980;3437.189941;3437.189941;253900
10/05/1993;3437.199951;3467.919922;3435.260010;3443.280029;3443.280029;261700
11/05/1993;3443.300049;3468.750000;3435.260010;3468.750000;3468.750000;213600
12/05/1993;3468.800049;3483.139893;3458.229980;3482.310059;3482.310059;266300
13/05/1993;3482.000000;3482.030029;3447.709961;3447.989990;3447.989990;272500
